Scale Name,Column Name,Reverse,Min,Max,Transform,Mean,Mental Forecasting,Temporal Orientation,Cognitive Strategies
PLAN,PLAN_1,0,1,5,0,1,0,1,0
PLAN,PLAN_2,1,1,5,0,1,0,0,1
PLAN,PLAN_3,1,1,5,0,1,0,1,0
PLAN,PLAN_4,1,1,5,0,1,0,0,1
PLAN,PLAN_5,0,1,5,0,1,0,0,1
PLAN,PLAN_6,1,1,5,0,1,1,0,0
PLAN,PLAN_7,0,1,5,0,1,0,1,0
PLAN,PLAN_8,0,1,5,0,1,0,0,1
PLAN,PLAN_9,0,1,5,0,1,1,0,0
PLAN,PLAN_10,1,1,5,0,1,1,0,0
PLAN,PLAN_11,1,1,5,0,1,0,1,0
PLAN,PLAN_12,1,1,5,0,1,0,0,1
PLAN,PLAN_13,1,1,5,0,1,1,0,0
PLAN,PLAN_14,0,1,5,0,1,0,1,0
PLAN,PLAN_15,0,1,5,0,1,0,0,1
PLAN,PLAN_16,0,1,5,0,1,1,0,0
PLAN,PLAN_17,0,1,5,0,1,0,0,1
PLAN,PLAN_18,1,1,5,0,1,0,0,1
PLAN,PLAN_19,0,1,5,0,1,1,0,0
PLAN,PLAN_20,1,1,5,0,1,0,1,0
PLAN,PLAN_21,1,1,5,0,1,0,0,1
PLAN,PLAN_22,1,1,5,0,1,1,0,0
PLAN,PLAN_23,0,1,5,0,1,0,1,0
PLAN,PLAN_24,0,1,5,0,1,1,0,0
PLAN,PLAN_25,1,1,5,0,1,0,1,0
PLAN,PLAN_26,0,1,5,0,1,0,0,1
PLAN,PLAN_27,0,1,5,0,1,1,0,0
PLAN,PLAN_28,0,1,5,0,1,0,1,0
PLAN,PLAN_29,1,1,5,0,1,1,0,0
PLAN,PLAN_30,1,1,5,0,1,0,1,0
